club_id,domestic_competition_id,average_age,stadium_name,stadium_seats,net_transfer_record_in_euros
1160,FR1,25.4,Stade des Antonins,8033,+2.50m
11688,TR1,22.5,Cotanak Spor Kompleksi,21500,0
124,SC1,26.1,Ibrox Stadium,50987,-2.85m
1465,PO1,24.1,Estadio Antonio Coimbra da Mota,5000,+8.00m
2477,UKR1,24.3,Stadion Ukraina,28051,0
2553,SC1,25.9,"BBSP Stadium, Rugby Park",18128,0
2672,GR1,27.5,Stadio Livadias,5915,0
2740,UKR1,24.5,Vorskla im. Oleksiy Butovskyi,23842,+900k
3008,GB1,25,MKM Stadium,25586,+7.50m
31,GB1,25.9,Anfield,54074,-111.30m
336,PO1,25,Estadio Jose Alvalade XXI,50095,+68.80m
3911,FR1,25.8,Stade Francis-Le Ble,15220,+5.10m
4,L1,25.2,Max-Morlock-Stadion,50000,+2.63m
410,IT1,25.7,Bluenergy Stadium,25144,+5.56m
41231,RU1,25.7,Fisht Olympic Stadium,45994,+2.64m
4128,RU1,26,Zvezda,17000,0
449,TR1,24.8,Papara Park,40782,-12.11m
4603,GR1,24.2,Stadio Alkazar,13108,0
55686,UKR1,26.1,Livyi Bereg Arena,4700,-175k
566,BE1,24.3,Olympisch Stadion,12771,0
595,FR1,27.6,Stade Armand-Cesari,16480,+480k
6890,TR1,26.4,Basaksehir Fatih Terim,17156,+1.10m
7185,GR1,24.3,Stadio Komotinis OPAP,5601,0
83678,UKR1,26.1,Avangard,10640,+300k
932,RU1,24.2,RZD Arena,27084,+3.71m
1010,GB1,26.3,Vicarage Road,21577,+42.02m
1108,ES1,25.5,Mendizorroza,19840,-6.90m
1124,RU1,27.8,Central Stadium of Profsoyuzes,21793,-60k
1158,FR1,24.7,Stade du Moustoir,19010,+31.30m
1177,DK1,23.7,JYSK Park,10000,+3.48m
13,ES1,28.3,Civitas Metropolitano,70460,+50.60m
131,ES1,26,Olimpic Lluis Companys,49472,+62.00m
133,NL1,23.1,Cambuurstadion,10250,0
141,TR1,25.9,Ali Sami Yen Spor Kompleksi RAMS Park,52223,+18.21m
1411,BE1,24.3,Stade Charles Tondreau,12662,0
169,GR1,23.5,Stadio Neas Smyrnis,11700,0
18,L1,25.2,Stadion im Borussia-Park,54042,-4.28m
18105,UKR1,18.3,Stadion SKIF,3742,0
2036,L1,26,Voith-Arena,15000,-2.30m
273,FR1,24,Roazhon Park,29778,+62.10m
3325,PO1,26.5,Estadio Municipal Eng.o Manuel Branco Teixeira,8396,+250k
3327,PO1,27.9,Estadio Municipal 25 de Abril,5230,0
366,ES1,27.2,Nuevo Jose Zorrilla,27618,+2.50m
4294,PO1,27.8,Estadio Sao Luis,7000,0
458,IT1,25.6,"Comunale Renzo Barbera ""La Favorita""",36365,-7.94m
46,IT1,28.7,Giuseppe Meazza,75923,+58.20m
5220,GR1,23.3,Pankritio Stadio,25780,0
