competition_id,name,country_name
DK1,superligaen,Denmark
ES1,laliga,Spain
FR1,ligue-1,France
IT1,serie-a,Italy
NL1,eredivisie,Netherlands
PO1,liga-portugal-bwin,Portugal
GB1,premier-league,England
UKR1,premier-liga,Ukraine
GR1,super-league-1,Greece
TR1,super-lig,Turkey
L1,bundesliga,Germany
RU1,premier-liga,Russia
SC1,scottish-premiership,Scotland
BE1,jupiler-pro-league,Belgium
