club_id,domestic_competition_id,average_age,stadium_seats,net_transfer_record
105,L1,26.3,17810,-1480000.0
11127,RU1,27.5,23000,-770000.0
114,TR1,27.3,42590,-14500000.0
12,IT1,26.6,73261,72250000.0
148,GB1,25.5,62850,-154900000.0
157,BE1,25.5,19999,19220000.0
1894,DK1,27.0,12000,335000.0
190,DK1,25.2,38065,9630000.0
192,NL1,24.0,19979,1300000.0
19789,TR1,22.9,25745,778000.0
2079,GR1,24.3,6350,0.0
21957,GR1,,3700,0.0
2414,DK1,25.1,10400,0.0
2457,PO1,24.2,37593,1800000.0
2578,SC1,25.9,10696,0.0
2727,BE1,24.3,10020,0.0
28643,BE1,26.8,13290,-350000.0
2990,PO1,25.2,29744,150000.0
3057,BE1,23.9,27670,1300000.0
3690,RU1,25.7,15200,-93000.0
4795,L1,24.3,15800,1550000.0
511,SC1,25.1,11850,0.0
5358,ES1,27.5,9128,1430000.0
603,GB1,25.5,33280,-655000.0
60551,UKR1,26.5,31003,5620000.0
6996,UKR1,,10640,0.0
8024,PO1,25.7,5600,4940000.0
868,TR1,26.3,20560,-3350000.0
903,SC1,27.0,20250,1710000.0
969,FR1,25.2,32939,31800000.0
989,GB1,25.8,11329,-125790000.0
993,ES1,27.9,21822,0.0
1025,IT1,24.6,36462,-20000000.0
1082,FR1,25.7,50186,12900000.0
1160,FR1,25.4,8033,2500000.0
11688,TR1,22.5,21500,0.0
124,SC1,26.1,50987,-2850000.0
1465,PO1,24.1,5000,8000000.0
2477,UKR1,,28051,0.0
2553,SC1,25.9,18128,0.0
2672,GR1,27.5,5915,0.0
2740,UKR1,24.5,23842,900000.0
3008,GB1,25.0,25586,7500000.0
31,GB1,25.9,54074,-111300000.0
336,PO1,25.0,50095,68800000.0
3911,FR1,25.8,15220,5100000.0
4,L1,25.2,50000,2630000.0
410,IT1,25.7,25144,5560000.0
41231,RU1,25.7,45994,2640000.0
4128,RU1,26.0,17000,0.0
449,TR1,24.8,40782,-12110000.0
4603,GR1,24.2,13108,0.0
55686,UKR1,26.1,4700,-175000.0
566,BE1,,12771,0.0
595,FR1,27.6,16480,480000.0
6890,TR1,26.4,17156,1100000.0
7185,GR1,24.3,5601,0.0
83678,UKR1,26.1,10640,300000.0
932,RU1,24.2,27084,3710000.0
1010,GB1,26.3,21577,42020000.0
1108,ES1,25.5,19840,-6900000.0
1124,RU1,27.8,21793,-60000.0
1158,FR1,24.7,19010,31300000.0
1177,DK1,23.7,10000,3480000.0
13,ES1,28.3,70460,50600000.0
131,ES1,26.0,49472,62000000.0
133,NL1,23.1,10250,0.0
141,TR1,25.9,52223,18210000.0
1411,BE1,,12662,0.0
169,GR1,23.5,11700,0.0
18,L1,25.2,54042,-4280000.0
18105,UKR1,18.3,3742,0.0
2036,L1,26.0,15000,-2300000.0
273,FR1,24.0,29778,62100000.0
3325,PO1,26.5,8396,250000.0
3327,PO1,27.9,5230,0.0
366,ES1,27.2,27618,2500000.0
4294,PO1,27.8,7000,0.0
458,IT1,25.6,36365,-7940000.0
46,IT1,28.7,75923,58200000.0
5220,GR1,23.3,25780,0.0
5572,GR1,27.2,22700,0.0
5817,DK1,24.0,10000,1800000.0
605,GR1,28.5,22800,7050000.0
995,FR1,26.2,37463,12850000.0
1003,GB1,27.1,32273,26000000.0
1237,GB1,25.5,31800,86400000.0
1436,PO1,26.6,32830,0.0
1455,NL1,23.3,4235,0.0
14589,RU1,24.7,10046,-3650000.0
1519,SC1,24.7,14223,350000.0
16239,UKR1,,12060,0.0
173,DK1,24.0,15790,9540000.0
200,NL1,25.0,23750,8900000.0
206,DK1,25.5,28000,5510000.0
2715,BE1,23.5,6744,400000.0
28956,GR1,,4000,0.0
2969,FR1,25.8,16098,1500000.0
2995,PO1,25.5,9076,0.0
3426,DK1,22.7,16942,0.0
3522,IT1,24.4,11676,-3950000.0
3609,RU1,23.9,45568,-13000.0
39097,UKR1,27.2,5103,-80000.0
39722,TR1,26.1,23700,70000.0
40,FR1,22.7,42115,12700000.0
41274,BE1,23.9,12771,395000.0
43,SC1,25.8,19852,150000.0
47,GR1,24.3,27770,0.0
4750,PO1,23.4,10080,0.0
589,TR1,26.5,32537,9430000.0
6,TR1,23.9,33000,0.0
6195,IT1,26.2,54726,-23500000.0
82,L1,24.7,28917,-600000.0
1050,ES1,28.3,23500,99400000.0
1096,BE1,24.7,16144,29350000.0
1147,FR1,27.5,10446,0.0
130,IT1,24.9,22352,-4370000.0
1429,IT1,26.0,23860,335000.0
15,L1,24.7,30210,-13600000.0
16247,UKR1,,5100,0.0
20100,DK1,,10000,0.0
20698,TR1,22.0,15800,0.0
2323,TR1,20.0,11024,0.0
2722,IT1,26.0,16134,2750000.0
276,IT1,25.0,39211,79160000.0
3329,PO1,23.8,5305,10800000.0
3691,RU1,,10028,0.0
370,SC1,25.0,22199,1790000.0
475,BE1,23.2,14600,-60000.0
49364,UKR1,25.7,1720,100000.0
